timestamp,gyro_x,gyro_y,gyro_z
18469.9200365,-0.007607585750520229,0.07559143006801605,0.13176415860652924
18470.0201825,-0.08228421956300735,0.031366977840662,0.01919366791844368
18470.1203285,-0.15170590579509735,0.2470332235097885,0.5107892155647278
18470.220475500002,0.09076425433158875,0.4590671956539154,0.2977406084537506
18470.320621500003,0.31507351994514465,0.5160337686538696,0.4389864206314087
18470.4207685,0.5449274778366089,0.5327795147895813,0.42124471068382263
18470.5209145,0.8869066834449768,0.4481503665447235,0.24244779348373413
18470.6210605,0.8058711886405945,0.20128197968006134,0.09612280130386353
18470.721207125,0.7269020676612854,-0.2981523275375366,-0.09564130753278732
18470.821353125,0.47461286187171936,-0.7477759718894958,-0.09226495027542114
18470.921499125,0.28059276938438416,-1.0263745784759521,-0.24158306419849396
18471.021646125002,0.05885239690542221,-1.0925418138504028,-0.29209256172180176
18471.121792125003,-0.203080952167511,-1.0491453409194946,-0.05535167083144188
18471.221939125,-0.7094517350196838,-0.8028221726417542,-0.11554577201604843
18471.322085125,-1.043226718902588,-0.5161381959915161,-0.22235530614852905
18471.422231125,-0.8490080237388611,-0.16982392966747284,0.03503761067986488
18471.522378125002,-0.6738346219062805,0.25768667459487915,-0.02220197580754757
18471.622524125,-0.36257633566856384,0.5758190751075745,0.16799725592136383
18471.722669875002,-0.31473129987716675,0.5821440815925598,0.20865148305892944
18471.822816875003,-0.18010132014751434,0.4841932952404022,0.18411125242710114
18471.922962875,-0.03191132843494415,0.3399985730648041,0.13621829450130463
