timestamp,gyro_x,gyro_y,gyro_z
87463.05995916667,-0.161166250705719,0.012558935210108757,0.11121999472379684
87463.16011129167,0.10856695473194122,0.1846686452627182,-0.10431255400180817
87463.26026329167,0.1948224902153015,-0.5693145990371704,-0.13942047953605652
87463.36041529167,0.2420872002840042,0.3713005781173706,0.025108283385634422
87463.46056829167,-0.09855426847934723,0.18376237154006958,0.03756522014737129
87463.56072029167,-0.12403246760368347,0.03624375909566879,0.15211044251918793
87463.66087229167,-0.0062818643637001514,-0.016979249194264412,0.05757221579551697
87463.76102429167,0.16505713760852814,-0.22680172324180603,-0.09476485848426819
87463.86117629167,0.5484833717346191,-0.06552042067050934,0.010608968324959278
87463.96132929168,-0.3248808681964874,-0.09452437609434128,0.1147923618555069
87464.06148129168,0.05962125211954117,-0.05632346123456955,-0.13063257932662964
87464.16163354168,-0.1112828478217125,-0.062187206000089645,-0.018244784325361252
87464.26178554168,-0.015182415023446083,-0.007240868639200926,-0.03111557476222515
87464.36193854167,0.03611486032605171,-0.03893594816327095,-0.03187137842178345
87464.46209054167,0.08635566383600235,0.03579474985599518,-0.18182732164859772
87464.56224254167,-0.5447067022323608,-0.09426578134298325,-0.12644262611865997
87464.66239454166,0.25008758902549744,0.3510863780975342,-0.018692461773753166
87464.76254654168,-0.4459090232849121,0.1624043583869934,-0.017360348254442215
87464.86269954167,-0.00705737667158246,0.005078648217022419,0.1676395982503891
87464.96285154167,-0.06865043193101883,-0.04911907762289047,-0.033732928335666656
87465.06300354167,0.12191658467054367,-0.12148302048444748,-0.01489479374140501
